{'opt': 'adam', 'truncate': -1, 'feat': 'basic_seg_cap', 'activation': ['bi-relu'], 'drates': [0, 0], 'sample': False, 'epoch': 1, 'bias': [1], 'lr': 0.005, 'fepoch': 300, 'hidden': [50], 'data': '', 'norm': 7.0}
['c= ', 'c=!', 'c="', 'c=$', 'c=%', 'c=&', "c='", 'c=(', 'c=)', 'c=*', 'c=+', 'c=,', 'c=-', 'c=.', 'c=/', 'c=0', 'c=1', 'c=2', 'c=3', 'c=4', 'c=5', 'c=6', 'c=7', 'c=8', 'c=9', 'c=:', 'c=;', 'c==', 'c=?', 'c=@', 'c=A', 'c=B', 'c=C', 'c=D', 'c=E', 'c=F', 'c=G', 'c=H', 'c=I', 'c=J', 'c=K', 'c=L', 'c=M', 'c=N', 'c=O', 'c=P', 'c=Q', 'c=R', 'c=S', 'c=T', 'c=U', 'c=V', 'c=W', 'c=X', 'c=Y', 'c=Z', 'c=[', 'c=]', 'c=`', 'c=a', 'c=b', 'c=c', 'c=d', 'c=e', 'c=f', 'c=g', 'c=h', 'c=i', 'c=j', 'c=k', 'c=l', 'c=m', 'c=n', 'c=o', 'c=p', 'c=q', 'c=r', 'c=s', 'c=t', 'c=u', 'c=v', 'c=w', 'c=x', 'c=y', 'c=z', 'is_capital', 'isspace', 'wend', 'wstart']
['b-LOC' 'b-MISC' 'b-ORG' 'b-PER' 'i-LOC' 'i-MISC' 'i-ORG' 'i-PER' 'l-LOC'
 'l-MISC' 'l-ORG' 'l-PER' 'o' 'u-LOC' 'u-MISC' 'u-ORG' 'u-PER']
# of sents:  [14041, 3250, 3453]
# of feats:  89
# of lbls:  17
(1079622, 89) (272309, 89)
(1079622,) (272309,)
14041 3250
...building the model
...training the model
Epoch: 1 Loss: 256391.778696 Error: 0.200156 Time: 136.234187 seconds
Dev Err: 0.376337 Time: 8.707991 seconds
bos	b-LOC	b-MISC	b-ORG	b-PER	i-LOC	i-MISC	i-ORG	i-PER	l-LOC	l-MISC	l-ORG	l-PER	o	u-LOC	u-MISC	u-ORG	u-PER
b-LOC	0	0	0	483	0	0	0	0	0	0	0	237	267	136	0	0	0
b-MISC	0	0	0	647	0	0	0	0	0	0	0	343	604	0	0	0	0
b-ORG	0	0	0	1383	0	0	0	0	0	0	0	555	626	58	0	0	0
b-PER	0	0	0	4360	0	0	0	0	0	0	0	1234	728	57	0	0	0
i-LOC	0	0	0	101	0	0	0	0	0	0	0	66	173	39	0	0	0
i-MISC	0	0	0	353	0	0	0	0	0	0	0	148	480	8	0	0	0
i-ORG	0	0	0	1072	0	0	0	0	0	0	0	407	811	31	0	0	0
i-PER	0	0	0	794	0	0	0	0	0	0	0	151	616	5	0	0	0
l-LOC	0	0	0	438	0	0	0	0	0	0	0	370	297	199	0	0	0
l-MISC	0	0	0	475	0	0	0	0	0	0	0	375	654	6	0	0	0
l-ORG	0	0	0	1032	0	0	0	0	0	0	0	690	771	186	0	0	0
l-PER	0	0	0	3644	0	0	0	0	0	0	0	3335	1102	190	0	0	0
o	0	0	0	54407	0	0	0	0	0	0	0	1788	159673	349	0	0	0
u-LOC	0	0	0	3839	0	0	0	0	0	0	0	1915	2516	2458	0	0	0
u-MISC	0	0	0	2408	0	0	0	0	0	0	0	1138	878	22	0	0	0
u-ORG	0	0	0	2013	0	0	0	0	0	0	0	867	3032	238	0	3	0
u-PER	0	0	0	1980	0	0	0	0	0	0	0	805	1208	35	0	0	0
bos	B-LOC	B-MISC	B-ORG	B-PER	I-LOC	I-MISC	I-ORG	I-PER	L-LOC	L-MISC	L-ORG	L-PER	O	U-LOC	U-MISC	U-ORG	U-PER
B-LOC	0	0	0	90	0	0	0	0	0	0	0	56	56	37	0	0	0
B-MISC	0	0	0	105	0	0	0	0	0	0	0	72	102	0	0	0	0
B-ORG	0	0	0	221	0	0	0	0	0	0	0	97	114	13	0	0	0
B-PER	0	0	0	813	0	0	0	0	0	0	0	253	147	12	0	0	0
I-LOC	0	0	0	8	0	0	0	0	0	0	0	13	5	0	0	0	0
I-MISC	0	0	0	46	0	0	0	0	0	0	0	25	42	2	0	0	0
I-ORG	0	0	0	133	0	0	0	0	0	0	0	82	80	4	0	0	0
I-PER	0	0	0	33	0	0	0	0	0	0	0	23	17	0	0	0	0
L-LOC	0	0	0	74	0	0	0	0	0	0	0	68	56	41	0	0	0
L-MISC	0	0	0	83	0	0	0	0	0	0	0	82	112	2	0	0	0
L-ORG	0	0	0	151	0	0	0	0	0	0	0	136	131	27	0	0	0
L-PER	0	0	0	511	0	0	0	0	0	0	0	555	138	21	0	0	0
O	0	0	0	10608	0	0	0	0	0	0	0	364	31702	85	0	0	0
U-LOC	0	0	0	549	0	0	0	0	0	0	0	339	340	365	0	0	0
U-MISC	0	0	0	319	0	0	0	0	0	0	0	197	118	3	0	0	0
U-ORG	0	0	0	283	0	0	0	0	0	0	0	140	421	36	0	0	0
U-PER	0	0	0	292	0	0	0	0	0	0	0	133	174	5	0	0	0
f1:  (65.09676414469841, 4.421586962329682, 11.21653676719756, 6.342818817667912)
...training the model
Epoch: 1 Loss: 4.495637 Error: 0.180270 Time: 135.978665 seconds
Dev Err: 0.221866 Time: 8.740315 seconds
bos	b-LOC	b-MISC	b-ORG	b-PER	i-LOC	i-MISC	i-ORG	i-PER	l-LOC	l-MISC	l-ORG	l-PER	o	u-LOC	u-MISC	u-ORG	u-PER
b-LOC	0	0	0	586	0	0	0	0	0	0	0	72	150	313	0	2	0
b-MISC	0	0	0	900	0	0	0	0	0	0	0	115	388	103	0	88	0
