{'opt': 'adam', 'truncate': -1, 'feat': 'basic', 'activation': ['bi-relu'], 'drates': [0, 0], 'sample': False, 'epoch': 1, 'bias': [1], 'lr': 0.005, 'fepoch': 400, 'hidden': [50], 'data': '', 'norm': 7.0}
['c= ', 'c=!', 'c="', 'c=$', 'c=%', 'c=&', "c='", 'c=(', 'c=)', 'c=*', 'c=+', 'c=,', 'c=-', 'c=.', 'c=/', 'c=0', 'c=1', 'c=2', 'c=3', 'c=4', 'c=5', 'c=6', 'c=7', 'c=8', 'c=9', 'c=:', 'c=;', 'c==', 'c=?', 'c=@', 'c=A', 'c=B', 'c=C', 'c=D', 'c=E', 'c=F', 'c=G', 'c=H', 'c=I', 'c=J', 'c=K', 'c=L', 'c=M', 'c=N', 'c=O', 'c=P', 'c=Q', 'c=R', 'c=S', 'c=T', 'c=U', 'c=V', 'c=W', 'c=X', 'c=Y', 'c=Z', 'c=[', 'c=]', 'c=`', 'c=a', 'c=b', 'c=c', 'c=d', 'c=e', 'c=f', 'c=g', 'c=h', 'c=i', 'c=j', 'c=k', 'c=l', 'c=m', 'c=n', 'c=o', 'c=p', 'c=q', 'c=r', 'c=s', 'c=t', 'c=u', 'c=v', 'c=w', 'c=x', 'c=y', 'c=z']
['b-LOC' 'b-MISC' 'b-ORG' 'b-PER' 'i-LOC' 'i-MISC' 'i-ORG' 'i-PER' 'l-LOC'
 'l-MISC' 'l-ORG' 'l-PER' 'o' 'u-LOC' 'u-MISC' 'u-ORG' 'u-PER']
# of sents:  [14041, 3250, 3453]
# of feats:  85
# of lbls:  17
(1079622, 85) (272309, 85)
(1079622,) (272309,)
14041 3250
...building the model
...training the model
Epoch: 1 Loss: 428358.633620 Error: 0.201629 Time: 90.748480 seconds
Dev Err: 0.211440 Time: 6.398328 seconds
bos	b-LOC	b-MISC	b-ORG	b-PER	i-LOC	i-MISC	i-ORG	i-PER	l-LOC	l-MISC	l-ORG	l-PER	o	u-LOC	u-MISC	u-ORG	u-PER
b-LOC	0	0	0	24	0	0	0	0	0	0	0	18	939	142	0	0	0
b-MISC	0	0	0	3	0	0	0	0	0	0	0	11	1570	10	0	0	0
b-ORG	0	0	0	186	0	0	0	0	0	0	0	100	2235	101	0	0	0
b-PER	0	0	0	1167	0	0	0	0	0	0	0	458	4674	80	0	0	0
i-LOC	0	0	0	3	0	0	0	0	0	0	0	2	333	41	0	0	0
i-MISC	0	0	0	4	0	0	0	0	0	0	0	11	972	2	0	0	0
i-ORG	0	0	0	29	0	0	0	0	0	0	0	57	2181	54	0	0	0
i-PER	0	0	0	139	0	0	0	0	0	0	0	191	1215	21	0	0	0
l-LOC	0	0	0	29	0	0	0	0	0	0	0	9	1066	200	0	0	0
l-MISC	0	0	0	11	0	0	0	0	0	0	0	3	1496	0	0	0	0
l-ORG	0	0	0	34	0	0	0	0	0	0	0	55	2285	305	0	0	0
l-PER	0	0	0	705	0	0	0	0	0	0	0	1129	6014	423	0	0	0
o	0	0	0	3183	0	0	0	0	0	0	0	915	210082	2037	0	0	0
u-LOC	0	0	0	529	0	0	0	0	0	0	0	204	7641	2354	0	0	0
u-MISC	0	0	0	79	0	0	0	0	0	0	0	14	4337	16	0	0	0
u-ORG	0	0	0	322	0	0	0	0	0	0	0	57	4770	1004	0	0	0
u-PER	0	0	0	55	0	0	0	0	0	0	0	69	3849	55	0	0	0
bos	B-LOC	B-MISC	B-ORG	B-PER	I-LOC	I-MISC	I-ORG	I-PER	L-LOC	L-MISC	L-ORG	L-PER	O	U-LOC	U-MISC	U-ORG	U-PER
B-LOC	0	0	0	5	0	0	0	0	0	0	0	4	191	39	0	0	0
B-MISC	0	0	0	1	0	0	0	0	0	0	0	2	274	2	0	0	0
B-ORG	0	0	0	32	0	0	0	0	0	0	0	18	371	24	0	0	0
B-PER	0	0	0	239	0	0	0	0	0	0	0	82	885	19	0	0	0
I-LOC	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0
